Aspect_Ratio,BNC,Brightness,Built-in_Speakers,Component,Contrast_Ratio,Curved,Curved_Screen,DVI,DVI-D_Dual-Link,DVI-I_Dual-Link,Display_Colors,DisplayPort,HDMI,IPS,Kind,LED,Link,Manufacturer,Mini-Display_Port,Model,Name,Part_#,Prices,Pricing,Recommended_Resolution,Refresh_Rate,Response_Time,S-Video,Screen_Size,Supports_Freesync,Supports_G-Sync,VGA,Viewing_Angle,Widescreen,screen_size,response,avg,refresh,screen_res,screen_area,screen_dims,screen_x,screen_y,price_per_sq_in
16:10,,300.0,Yes,,5000 :1 (ASCR),,,1,,,16700000,,,No,Monitor,No,/product/4yn2FT/asus-monitor-vh196tp,Asus,,,"Asus VH196T-P 19.0"" 1440x900 Monitor",VH196T-P,[],{},1440 x 900,,5 ms,,19,,,1,160° H x 160° V,Yes,19.0,5.0,0.0,0.0,"(16.0, 10.0)",162.247191011,"[16.1119677761, 10.0699798601]",16.1119677761,10.0699798601,0.0
16:9,,250.0,No,,1000:1,,,1,,,16700000,,,No,Monitor,Yes,/product/GKtCmG/dell-monitor-4688307,Dell,,P2411H,"Dell P2411H 24.0"" 1920x1080 Monitor",468-8307,[],{},1920 x 1080,,5 ms,,24,,,1,170° H x 160° V,Yes,24.0,5.0,0.0,0.0,"(16.0, 9.0)",246.12462908,"[20.917812891, 11.7662697512]",20.917812891,11.7662697512,0.0
16:9,,250.0,No,,1000 : 1 (typical),,,1,,,16700000,,,No,Monitor,Yes,/product/MRmLrH/dell-monitor-e2011h,Dell,,,"Dell E2011H 20.0"" 1600x900 Monitor",E2011H,[],{},1600 x 900,,5 ms,,20,,,1,170° H x 160° V,Yes,20.0,5.0,0.0,0.0,"(16.0, 9.0)",170.919881306,"[17.4315107425, 9.80522479265]",17.4315107425,9.80522479265,0.0
16:9,,300.0,No,,"DCR 1,000,000:1 (1,000:1)",,,,,,16700000,1,1,No,Monitor,Yes,/product/DBBv6h/samsung-monitor-s27a950d,Samsung,,,"Samsung S27A950D 27.0"" 1920x1080 120Hz Monitor",S27A950D,[],{},1920 x 1080,120Hz,2 ms,,27,,,,170° H x 160° V,Yes,27.0,2.0,0.0,120.0,"(16.0, 9.0)",311.50148368,"[23.5325395024, 13.2370534701]",23.5325395024,13.2370534701,0.0
16:9,,300.0,No,,"DCR 1,000,000:1 (1,000:1)",,,,,,16700000,,1,No,Monitor,Yes,/product/c2sKHx/samsung-monitor-s27a550h,Samsung,,,"Samsung S27A550H 27.0"" 1920x1080 Monitor",S27A550H,[],{},1920 x 1080,,2 ms,,27,,,1,170° H x 160° V,Yes,27.0,2.0,0.0,0.0,"(16.0, 9.0)",311.50148368,"[23.5325395024, 13.2370534701]",23.5325395024,13.2370534701,0.0
16:9,,350.0,No,,,,,,,,,1,1,Yes,Monitor,Yes,/product/JhkwrH/lg-monitor-27ud68w,LG,,,"LG 27UD68-W 27.0"" 3840x2160 60Hz Monitor",27UD68-W,[579.99],{u'ncixus': 579.99},3840 x 2160,60Hz,5 ms,,27,Yes,,1,178° H x 178° V,Yes,27.0,5.0,579.99,60.0,"(16.0, 9.0)",311.50148368,"[23.5325395024, 13.2370534701]",23.5325395024,13.2370534701,1.86191729538
16:10,,250.0,Yes,,ACM 50000:1(1000:1),,,1,,,16700000,,,No,Monitor,No,/product/yJ3RsY/acer-monitor-etcb3wpg01,Acer,,B193WGJbmdh,"Acer B193WGJbmdh 19.0"" 1440x900 Monitor",ET.CB3WP.G01,[159.99],{u'directron': 159.99},1440 x 900,,5 ms,,19,,,1,160° H x 160° V,Yes,19.0,5.0,159.99,0.0,"(16.0, 10.0)",162.247191011,"[16.1119677761, 10.0699798601]",16.1119677761,10.0699798601,0.986087950139
16:9,,250.0,No,,"DCR 1,000,000:1 (1,000:1)",,,1,,,16700000,,,No,Monitor,Yes,/product/JYDwrH/samsung-monitor-s24a300b,Samsung,,,"Samsung S24A300B 24.0"" 1920x1080 Monitor",S24A300B,[],{},1920 x 1080,,5 ms,,24,,,1,170° H x 160° V,Yes,24.0,5.0,0.0,0.0,"(16.0, 9.0)",246.12462908,"[20.917812891, 11.7662697512]",20.917812891,11.7662697512,0.0
16:10,,250.0,Yes,,"DFC 20,000:1 (1,000:1)",,,,,,16700000,,,No,Monitor,No,/product/Hw4gXL/lg-monitor-n194wabf,LG,,,"LG N194WA-BF 19.0"" 1440x900 Monitor",N194WA-BF,[],{},1440 x 900,,5 ms,,19,,,1,170° H x 160° V,Yes,19.0,5.0,0.0,0.0,"(16.0, 10.0)",162.247191011,"[16.1119677761, 10.0699798601]",16.1119677761,10.0699798601,0.0
16:9,,300.0,Yes,1,"DC 1,000,000:1 (1,000:1)",,,,,,,,2,No,Monitor,Yes,/product/tjrG3C/samsung-monitor-t27a950,Samsung,,,"Samsung T27A950 27.0"" 1920x1080 120Hz Monitor",T27A950,[],{},1920 x 1080,120Hz,5 ms,1,27,,,,170° H x 160° V,Yes,27.0,5.0,0.0,120.0,"(16.0, 9.0)",311.50148368,"[23.5325395024, 13.2370534701]",23.5325395024,13.2370534701,0.0
16:9,,300.0,Yes,1,"DC 1,000,000:1 (1,000:1)",,,,,,,,2,No,Monitor,Yes,/product/qcDwrH/samsung-monitor-t27a750,Samsung,,,"Samsung T27A750 27.0"" 1920x1080 120Hz Monitor",T27A750,[],{},1920 x 1080,120Hz,5 ms,1,27,,,,170° H x 160° V,Yes,27.0,5.0,0.0,120.0,"(16.0, 9.0)",311.50148368,"[23.5325395024, 13.2370534701]",23.5325395024,13.2370534701,0.0
16:9,,250.0,Yes,1,"DC 1,000,000:1 (1,000:1)",,,,,,,,2,No,Monitor,Yes,/product/KYDwrH/samsung-monitor-t23a750,Samsung,,,"Samsung T23A750 23.0"" 1920x1080 Monitor",T23A750,[],{},1920 x 1080,,5 ms,1,23,,,,170° H x 160° V,Yes,23.0,5.0,0.0,0.0,"(16.0, 9.0)",226.041543027,"[20.0462373539, 11.2760085115]",20.0462373539,11.2760085115,0.0
16:9,,250.0,Yes,1,"DC 1,000,000:1 (1,000:1)",,,,,,,,2,No,Monitor,Yes,/product/FcDwrH/samsung-monitor-t23a350,Samsung,,,"Samsung T23A350 23.0"" 1920x1080 Monitor",T23A350,[],{},1920 x 1080,,5 ms,1,23,,,1,170° H x 160° V,Yes,23.0,5.0,0.0,0.0,"(16.0, 9.0)",226.041543027,"[20.0462373539, 11.2760085115]",20.0462373539,11.2760085115,0.0
16:9,,350.0,No,1,DC 80000:1 (1000:1),,,2,,,1070000000,1,1,Yes,Monitor,No,/product/3qZQzy/dell-monitor-4690054,Dell,,U2711,"Dell U2711 27.0"" 2560x1440 60Hz Monitor",469-0054<br/>(or) U2711,[],{},2560 x 1440,60Hz,6 ms,1,27,,,1,178° H x 178° V,Yes,27.0,6.0,0.0,60.0,"(16.0, 9.0)",311.50148368,"[23.5325395024, 13.2370534701]",23.5325395024,13.2370534701,0.0
16:10,,400.0,No,1,1000:1,,,2,,,,1,1,Yes,Monitor,No,/product/9fTmP6/hp-monitor-kd911a8aba,HP,,LP2475w,"HP LP2475w 24.0"" 1920x1200 Monitor",KD911A8#ABA,[],{},1920 x 1200,,6 ms,1,24,,,,178° H x 178° V,Yes,24.0,6.0,0.0,0.0,"(16.0, 10.0)",258.876404494,"[20.3519592961, 12.7199745601]",20.3519592961,12.7199745601,0.0
16:10,,250.0,No,,1000:1,,,,,,,,,No,Monitor,No,/product/7fTmP6/hp-monitor-nk571a8aba,HP,,LE2201w,"HP LE2201w 22.0"" 1680x1050 Monitor",NK571A8#ABA,[],{},1680 x 1050,,5 ms,,22,,,1,160° H x 160° V,Yes,22.0,5.0,0.0,0.0,"(16.0, 10.0)",217.528089888,"[18.6559626881, 11.6599766801]",18.6559626881,11.6599766801,0.0
16:9,,250.0,Yes,,"100,000,000:1",,,1,,,16700000,,1,No,Monitor,Yes,/product/xbKhP6/asus-monitor-vp228h,Asus,,,"Asus VP228H 21.5"" 1920x1080 60Hz Monitor",VP228H,"[104.99, 109.0, 109.99, 111.99]","{u'newegg': 104.99, u'bestbuy': 109.0, u'pcmall': 111.99, u'bhphotovideo': 109.99}",1920 x 1080,60Hz,1 ms,,21.5,,,1,170° H x 160° V,Yes,21.5,1.0,108.9925,60.0,"(16.0, 9.0)",197.519287834,"[18.7388740482, 10.5406166521]",18.7388740482,10.5406166521,0.55180687008
16:9,,350.0,Yes,,,,,,,,,1,1,No,Monitor,Yes,/product/HPX2FT/acer-monitor-xb241hbmipr,Acer,,,"Acer XB241H bmipr 24.0"" 1920x1080 144Hz Monitor",XB241H bmipr,"[399.99, 399.0]","{u'amazon': 399.0, u'bestbuy': 399.99}",1920 x 1080,144Hz,1 ms,,24,,Yes,,170° H x 160° V,Yes,24.0,1.0,399.495,144.0,"(16.0, 9.0)",246.12462908,"[20.917812891, 11.7662697512]",20.917812891,11.7662697512,1.6231410952
16:9,,250.0,No,,"DC 1,000,000:1",,,,,,16700000,,1,No,Monitor,Yes,/product/mnR48d/samsung-monitor-c27a750x,Samsung,,,"Samsung C27A750X 27.0"" 1920x1080 Monitor",C27A750X,[],{},1920 x 1080,,2 ms,,27,,,1,170° H x 160° V,Yes,27.0,2.0,0.0,0.0,"(16.0, 9.0)",311.50148368,"[23.5325395024, 13.2370534701]",23.5325395024,13.2370534701,0.0
16:9,,300.0,Yes,,ASCR 20000 :1,,,1,,,16700000,,1,No,Monitor,No,/product/8LmLrH/asus-monitor-vh222hp,Asus,,,"Asus VH222H-P 21.5"" 1920x1080 Monitor",VH222H-P,[],{},1920 x 1080,,5 ms,,21.5,,,1,170° H x 160° V,Yes,21.5,5.0,0.0,0.0,"(16.0, 9.0)",197.519287834,"[18.7388740482, 10.5406166521]",18.7388740482,10.5406166521,0.0
16:10,,300.0,Yes,,50000 :1 (ASCR),,,1,,,16700000,,,No,Monitor,No,/product/xnR48d/asus-monitor-vw193tr,Asus,,,"Asus VW193TR 19.0"" 1440x900 Monitor",VW193TR,[],{},1440 x 900,,5 ms,,19,,,1,170° H x 160° V,Yes,19.0,5.0,0.0,0.0,"(16.0, 10.0)",162.247191011,"[16.1119677761, 10.0699798601]",16.1119677761,10.0699798601,0.0
5:4,,300.0,Yes,,2000:1(ASCR),,,1,,,16700000,,,No,Monitor,No,/product/khzv6h/asus-monitor-vb171t,Asus,,,"Asus VB171T 17.0"" 1280x1024 Monitor",VB171T,[],{},1280 x 1024,,5 ms,,17,,,1,160° H x 160° V,No,17.0,5.0,0.0,0.0,"(5.0, 4.0)",140.975609756,"[13.2747697605, 10.6198158084]",13.2747697605,10.6198158084,0.0
16:10,,250.0,No,,DC 3000:1 (1000:1),,,1,,,,,,No,Monitor,No,/product/bWQypg/hp-monitor-nm274a8aba,HP,,LA2205wg,"HP LA2205wg 22.0"" 1680x1050 Monitor",NM274A8#ABA,[],{},1680 x 1050,,5 ms,,22,,,1,160° H x 160° V,Yes,22.0,5.0,0.0,0.0,"(16.0, 10.0)",217.528089888,"[18.6559626881, 11.6599766801]",18.6559626881,11.6599766801,0.0
16:10,,250.0,No,,DC 3000:1 (1000:1),,,1,,,,1,,No,Monitor,No,/product/6TkD4D/hp-monitor-nm360a8aba,HP,,LA1905wg,"HP LA1905wg 19.0"" 1440x900 Monitor",NM360A8#ABA,[],{},1440 x 900,,5 ms,,19,,,1,160° H x 160° V,Yes,19.0,5.0,0.0,0.0,"(16.0, 10.0)",162.247191011,"[16.1119677761, 10.0699798601]",16.1119677761,10.0699798601,0.0
16:9,,250.0,No,,"ACM 12,000,000:1 (1000:1)",,,1,,,16700000,,,No,Monitor,Yes,/product/zBBv6h/acer-monitor-etds1hp001,Acer,,S201HLbd,"Acer S201HLbd 20.0"" 1600x900 60Hz Monitor",ET.DS1HP.001,[],{},1600 x 900,60Hz,5 ms,,20,,,1,170° H x 160° V,Yes,20.0,5.0,0.0,60.0,"(16.0, 9.0)",170.919881306,"[17.4315107425, 9.80522479265]",17.4315107425,9.80522479265,0.0
16:9,,250.0,No,,"50000:1(ACM), 1000:1",,,,,,16700000,,,No,Monitor,No,/product/Ts3RsY/acer-monitor-etxg5hpa01,Acer,,G185HAb,"Acer G185HAb 18.5"" 1366x768 Monitor",ET.XG5HP.A01,[],{},1366 x 768,,5 ms,,18.5,,,1,160° H x 160° V,Yes,18.5,5.0,0.0,0.0,"(16.0, 9.0)",146.243323442,"[16.1241474368, 9.0698329332]",16.1241474368,9.0698329332,0.0
16:10,,300.0,No,,DC 3000:1(1000:1),,,1,,,,1,,No,Monitor,No,/product/46W9TW/hp-monitor-nl773a8aba,HP,,LA2405wg,"HP LA2405wg 24.0"" 1920x1200 Monitor",NL773A8#ABA,[],{},1920 x 1200,,5 ms,,24,,,1,160° H x 160° V,Yes,24.0,5.0,0.0,0.0,"(16.0, 10.0)",258.876404494,"[20.3519592961, 12.7199745601]",20.3519592961,12.7199745601,0.0
16:9,,200.0,No,,"DC 5,000:1(600:1)",,,,,,,,,No,Monitor,No,/product/NRmLrH/hp-monitor-xj311a8aba,HP,,S1933,"HP S1933 18.5"" 1366x768 Monitor",XJ311A8#ABA,[],{},1366 x 768,,5 ms,,18.5,,,1,90° H x 55° V,Yes,18.5,5.0,0.0,0.0,"(16.0, 9.0)",146.243323442,"[16.1241474368, 9.0698329332]",16.1241474368,9.0698329332,0.0
16:9,,0.0,No,,,,,,,,,1,1,Yes,Monitor,Yes,/product/Qh7CmG/lg-32ma68hy-p-320-60hz-monitor-32ma68hy-p,LG,,,"LG 32MA68HY-P 32.0"" 1920x1080 60Hz Monitor",32MA68HY-P,"[199.99, 239.99]","{u'ncixus': 239.99, u'amazon': 199.99}",1920 x 1080,60Hz,,,32,,,1,178° H x 178° V,Yes,32.0,0.0,219.99,60.0,"(16.0, 9.0)",437.554896142,"[27.890417188, 15.6883596682]",27.890417188,15.6883596682,0.502771199544
16:9,,250.0,No,1,"DC 5,000,000:1",,,1,,,16700000,,2,No,Monitor,Yes,/product/Lhzv6h/lg-monitor-m2280dpu,LG,,,"LG M2280D-PU 22.0"" 1920x1080 Monitor",M2280D-PU,[],{},1920 x 1080,,5 ms,1,22,,,,170° H x 170° V,Yes,22.0,5.0,0.0,0.0,"(16.0, 9.0)",206.81305638,"[19.1746618167, 10.7857472719]",19.1746618167,10.7857472719,0.0
16:9,,250.0,No,,"DC 5,000,000:1",,,1,,,16700000,,1,No,Monitor,Yes,/product/G7Np99/lg-monitor-e2360vpn,LG,,,"LG E2360V-PN 23.0"" 1920x1080 Monitor",E2360V-PN,[],{},1920 x 1080,,5 ms,,23,,,1,170° H x 170° V,Yes,23.0,5.0,0.0,0.0,"(16.0, 9.0)",226.041543027,"[20.0462373539, 11.2760085115]",20.0462373539,11.2760085115,0.0
16:9,,300.0,Yes,,"DC 8,000,000:1 (1000:1)",,,,,,16700000,1,2,Yes,Monitor,Yes,/product/fr9KHx/dell-monitor-uz2715h,Dell,,,"Dell UZ2715H 27.0"" 1920x1080 60Hz Monitor",UZ2715H,[],{},1920 x 1080,60Hz,8 ms,,27,,,1,178° H x 178° V,Yes,27.0,8.0,0.0,60.0,"(16.0, 9.0)",311.50148368,"[23.5325395024, 13.2370534701]",23.5325395024,13.2370534701,0.0
16:9,,300.0,No,,"ACM 80,000:1 (1,000:1)",,,1,,,16700000,,,No,Monitor,No,/product/C3YXsY/acer-monitor-etfg5hpb02,Acer,,G245HBbd,"Acer G245HBbd 24.0"" 1920x1080 Monitor",ET.FG5HP.B02,[],{},1920 x 1080,,5 ms,,24,,,1,170° H x 160° V,Yes,24.0,5.0,0.0,0.0,"(16.0, 9.0)",246.12462908,"[20.917812891, 11.7662697512]",20.917812891,11.7662697512,0.0
16:9,,250.0,No,,"DC 3,000,000:1 (1,000:1)",,,1,,,,,1,No,Monitor,Yes,/product/yv9KHx/hp-monitor-xp599aaaba,HP,,2511x,"HP 2511x 25.0"" 1920x1080 Monitor",XP599AA#ABA,[],{},1920 x 1080,,5 ms,,25,,,1,170° H x 160° V,Yes,25.0,5.0,0.0,0.0,"(16.0, 9.0)",267.06231454,"[21.7893884281, 12.2565309908]",21.7893884281,12.2565309908,0.0
16:9,,250.0,Yes,1,"DFC 5,000,000:1",,,,,,16700000,,2,No,Monitor,Yes,/product/PMW9TW/lg-monitor-m2380dpu,LG,,,"LG M2380D-PU 23.0"" 1920x1080 Monitor",M2380D-PU,[],{},1920 x 1080,,5 ms,1,23,,,1,170° H x 170° V,Yes,23.0,5.0,0.0,0.0,"(16.0, 9.0)",226.041543027,"[20.0462373539, 11.2760085115]",20.0462373539,11.2760085115,0.0
16:9,,250.0,No,,"5,000,000:1 (DFC)",,,1,,,16700000,,1,No,Monitor,Yes,/product/JjrG3C/lg-monitor-e2750vrsn,LG,,,"LG E2750VR-SN 27.0"" 1920x1080 Monitor",E2750VR-SN,[],{},1920 x 1080,,5 ms,,27,,,1,170° H x 160° V,Yes,27.0,5.0,0.0,0.0,"(16.0, 9.0)",311.50148368,"[23.5325395024, 13.2370534701]",23.5325395024,13.2370534701,0.0
5:4,,250.0,No,,"ACM 100,000,000:1 (1,000:1)",,,1,,,16700000,,,No,Monitor,Yes,/product/V9kD4D/acer-monitor-umcv3aaa02,Acer,,V193LAJObd,"Acer V193LAJObd 19.0"" 1280x1024 75Hz Monitor",UM.CV3AA.A02,[],{},1280 x 1024,75Hz,5 ms,,19,,,1,170° H x 160° V,No,19.0,5.0,0.0,75.0,"(5.0, 4.0)",176.097560976,"[14.8365073794, 11.8692059035]",14.8365073794,11.8692059035,0.0
5:4,,250.0,Yes,,"ACM 100,000,000:1 (1,000:1)",,,,,,16700000,,,No,Monitor,Yes,/product/mZNp99/acer-monitor-umcv3aaa03,Acer,,V193LAJObm,"Acer V193LAJObm 19.0"" 1280x1024 75Hz Monitor",UM.CV3AA.A03,[],{},1280 x 1024,75Hz,5 ms,,19,,,1,170° H x 160° V,No,19.0,5.0,0.0,75.0,"(5.0, 4.0)",176.097560976,"[14.8365073794, 11.8692059035]",14.8365073794,11.8692059035,0.0
5:4,,250.0,No,,"ACM 100,000,000:1 (1000:1)",,,,,,16700000,,,No,Monitor,Yes,/product/82JwrH/acer-monitor-umcv3aaa01,Acer,,V193LAJOb,"Acer V193LAJOb 19.0"" 1280x1024 75Hz Monitor",UM.CV3AA.A01,[],{},1280 x 1024,75Hz,5 ms,,19,,,1,170° H x 160° V,No,19.0,5.0,0.0,75.0,"(5.0, 4.0)",176.097560976,"[14.8365073794, 11.8692059035]",14.8365073794,11.8692059035,0.0
16:9,,250.0,Yes,,"80,000,000:1",,,,,,16700000,,2,Yes,Monitor,Yes,/product/8VkD4D/asus-monitor-mx279h,Asus,,,"Asus MX279H 27.0"" 1920x1080 Monitor",MX279H,"[169.99, 233.99, 239.99, 239.99, 259.0, 259.98, 269.0]","{u'directron': 259.98, u'jet': 259.0, u'bestbuy': 169.99, u'superbiiz': 233.99, u'bhphotovideo': 269.0, u'newegg': 239.99, u'pcmall': 239.99}",1920 x 1080,,5 ms,,27,,,1,178° H x 178° V,Yes,27.0,5.0,238.848571429,0.0,"(16.0, 9.0)",311.50148368,"[23.5325395024, 13.2370534701]",23.5325395024,13.2370534701,0.766765437542
16:9,,250.0,No,,"DC 3,000,000:1 (1,000:1)",,,1,,,,,1,No,Monitor,Yes,/product/tw4gXL/hp-monitor-xp598aaaba,HP,,2311x,"HP 2311x 23.0"" 1920x1080 Monitor",XP598AA#ABA,[],{},1920 x 1080,,5 ms,,23,,,1,,Yes,23.0,5.0,0.0,0.0,"(16.0, 9.0)",226.041543027,"[20.0462373539, 11.2760085115]",20.0462373539,11.2760085115,0.0
16:10,,300.0,Yes,,1000:1(ASCR 5000:1),,,1,,,16700000,,,No,Monitor,No,/product/qDR48d/asus-monitor-vw224u,Asus,,,"Asus VW224U 22.0"" 1680x1050 Monitor",VW224U,[],{},1680 x 1050,,2 ms,,22,,,1,170° H x 160° V,Yes,22.0,2.0,0.0,0.0,"(16.0, 10.0)",217.528089888,"[18.6559626881, 11.6599766801]",18.6559626881,11.6599766801,0.0
16:9,,250.0,No,,"DFC 5,000,000:1",,,1,,,16700000,,2,Yes,Monitor,Yes,/product/QTkD4D/lg-monitor-e2370vbf,LG,,,"LG E2370V-BF 23.0"" 1920x1080 Monitor",E2370V-BF,[],{},1920 x 1080,,14 ms,,23,,,1,178° H x 168° V,Yes,23.0,14.0,0.0,0.0,"(16.0, 9.0)",226.041543027,"[20.0462373539, 11.2760085115]",20.0462373539,11.2760085115,0.0
16:9,,250.0,No,,"DFC: 10,000,000:1",,,1,,,16700000,,1,No,Monitor,Yes,/product/3KtCmG/lg-monitor-e2381vrbn,LG,,E2381VR,"LG E2381VR 23.0"" 1920x1080 Monitor",E2381VR-BN,[],{},1920 x 1080,,5 ms,,23,,,1,170° H x 160° V,Yes,23.0,5.0,0.0,0.0,"(16.0, 9.0)",226.041543027,"[20.0462373539, 11.2760085115]",20.0462373539,11.2760085115,0.0
16:9,,250.0,No,,"5,000,000:1",,,1,,,,,,Yes,Monitor,Yes,/product/RLmLrH/lg-monitor-ips231pbn,LG,,,"LG IPS231P-BN 23.0"" 1920x1080 Monitor",IPS231P-BN,[],{},1920 x 1080,,6 ms,,23,,,1,,Yes,23.0,6.0,0.0,0.0,"(16.0, 9.0)",226.041543027,"[20.0462373539, 11.2760085115]",20.0462373539,11.2760085115,0.0
16:9,,250.0,No,,"DFC 5,000,000:1",,,1,,,16700000,,2,No,Monitor,Yes,/product/7kQypg/lg-monitor-e2770vbf,LG,,,"LG E2770V-BF 27.0"" 1920x1080 Monitor",E2770V-BF,[],{},1920 x 1080,,14 ms,,27,,,1,178° H x 168° V,Yes,27.0,14.0,0.0,0.0,"(16.0, 9.0)",311.50148368,"[23.5325395024, 13.2370534701]",23.5325395024,13.2370534701,0.0
16:9,,250.0,No,,"DFC 5,000,000:1 (1000:1)",,,1,,,16700000,,1,No,Monitor,Yes,/product/Vs3RsY/lg-monitor-d2342ppn,LG,,,"LG D2342P-PN 23.0"" 1920x1080 75Hz Monitor",D2342P-PN,[],{},1920 x 1080,75Hz,5 ms,,23,,,1,,Yes,23.0,5.0,0.0,75.0,"(16.0, 9.0)",226.041543027,"[20.0462373539, 11.2760085115]",20.0462373539,11.2760085115,0.0
16:9,,300.0,Yes,1,DC 70000:1,,,,,,16700000,,1,No,Monitor,No,/product/m4Lypg/samsung-monitor-b2330hd,Samsung,,,"Samsung B2330HD 23.0"" 1920x1080 Monitor",B2330HD,[],{},1920 x 1080,,5 ms,,23,,,1,170° H x 160° V,Yes,23.0,5.0,0.0,0.0,"(16.0, 9.0)",226.041543027,"[20.0462373539, 11.2760085115]",20.0462373539,11.2760085115,0.0
16:9,,300.0,No,,"DC 70,000:1 (1,000:1)",,,1,,,16700000,,1,No,Monitor,No,/product/87Np99/samsung-monitor-p2770fh,Samsung,,,"Samsung P2770FH 27.0"" 1920x1080 Monitor",P2770FH,[],{},1920 x 1080,,1 ms,,27,,,,170° H x 160° V,Yes,27.0,1.0,0.0,0.0,"(16.0, 9.0)",311.50148368,"[23.5325395024, 13.2370534701]",23.5325395024,13.2370534701,0.0
16:9,,250.0,Yes,,"ACM 8,000,000:1",,,1,,,16700000,,,No,Monitor,Yes,/product/xyn2FT/acer-monitor-etfb3lp002,Acer,,B243HLbmdrz,"Acer B243HLbmdrz 24.0"" 1920x1080 Monitor",ET.FB3LP.002,[],{},1920 x 1080,,5 ms,,24,,,1,170° H x 160° V,Yes,24.0,5.0,0.0,0.0,"(16.0, 9.0)",246.12462908,"[20.917812891, 11.7662697512]",20.917812891,11.7662697512,0.0
16:9,,250.0,No,,"ACM 100,000,000:1 (1000:1)",,,1,,,16700000,,,No,Monitor,Yes,/product/jCYXsY/acer-monitor-etws0hpa01,Acer,,S220HQLAbd,"Acer S220HQLAbd 21.5"" 1920x1080 60Hz Monitor",ET.WS0HP.A01,"[92.99, 92.99, 96.39, 99.99, 104.89, 99.99, 92.99, 129.99]","{u'jet': 92.99, u'bestbuy': 92.99, u'superbiiz': 129.99, u'bhphotovideo': 96.39, u'outletpc': 104.89, u'amazon': 92.99, u'newegg': 99.99, u'pcmall': 99.99}",1920 x 1080,60Hz,5 ms,,21.5,,,1,170° H x 160° V,Yes,21.5,5.0,101.2775,60.0,"(16.0, 9.0)",197.519287834,"[18.7388740482, 10.5406166521]",18.7388740482,10.5406166521,0.512747393486
16:9,,250.0,Yes,,"DC 8,000,000:1",,,,,,16700000,,2,No,Monitor,Yes,/product/k4Lypg/acer-monitor-etfs3lp001,Acer,,S243HLbmii,"Acer S243HLbmii 24.0"" 1920x1080 Monitor",ET.FS3LP.001,[],{},1920 x 1080,,2 ms,,24,,,1,170° H x 160° V,Yes,24.0,2.0,0.0,0.0,"(16.0, 9.0)",246.12462908,"[20.917812891, 11.7662697512]",20.917812891,11.7662697512,0.0
5:4,,250.0,Yes,,"DC 50,000:1 (1,000:1)",,,1,,,16700000,,,No,Monitor,No,/product/bFDwrH/samsung-monitor-b1940mr,Samsung,,,"Samsung B1940MR 19.0"" 1280x1024 Monitor",B1940MR,[],{},1280 x 1024,,5 ms,,19,,,1,170° H x 160° V,No,19.0,5.0,0.0,0.0,"(5.0, 4.0)",176.097560976,"[14.8365073794, 11.8692059035]",14.8365073794,11.8692059035,0.0
16:9,,250.0,No,,"DCR 5,000,000:1 (1,000:1)",,,,,,,,2,No,Monitor,Yes,/product/WVvRsY/samsung-monitor-bx2331,Samsung,,,"Samsung BX2331 23.0"" 1920x1080 Monitor",BX2331,[],{},1920 x 1080,,2 ms,,23,,,1,170° H x 160° V,Yes,23.0,2.0,0.0,0.0,"(16.0, 9.0)",226.041543027,"[20.0462373539, 11.2760085115]",20.0462373539,11.2760085115,0.0
16:9,,300.0,No,,DC  80000:1,,,1,,,16700000,,1,No,Monitor,No,/product/67Np99/acer-monitor-etug5hp001,Acer,,GD235HZbid,"Acer GD235HZbid 23.6"" 1920x1080 120Hz Monitor",ET.UG5HP.001,[],{},1920 x 1080,120Hz,2 ms,,23.6,,,1,170° H x 160° V,Yes,23.6,2.0,0.0,120.0,"(16.0, 9.0)",237.98884273,"[20.5691826761, 11.5701652553]",20.5691826761,11.5701652553,0.0
5:4,,250.0,No,,ACM 20000:1(1000:1),,,,,,16700000,,,No,Monitor,No,/product/j3YXsY/acer-monitor-etbv3rpd03,Acer,,V173DJb,"Acer V173DJb 17.0"" 1280x1024 Monitor",ET.BV3RP.D03,[106.2],{u'amazon': 106.2},1280 x 1024,,5 ms,,17,,,1,160° H x 160° V,No,17.0,5.0,106.2,0.0,"(5.0, 4.0)",140.975609756,"[13.2747697605, 10.6198158084]",13.2747697605,10.6198158084,0.753321799308
16:10,,300.0,Yes,,"DCR 70,000:1 (1,000:1)",,,1,,,,,,No,Monitor,No,/product/BNbp99/samsung-monitor-b2240mw,Samsung,,,"Samsung B2240MW 22.0"" 1680x1050 Monitor",B2240MW,[],{},1680 x 1050,,5 ms,,22,,,1,170° H x 160° V,Yes,22.0,5.0,0.0,0.0,"(16.0, 10.0)",217.528089888,"[18.6559626881, 11.6599766801]",18.6559626881,11.6599766801,0.0
5:4,,250.0,No,,ACM 20000:1(1000:1),,,1,,,16700000,,,No,Monitor,No,/product/YVvRsY/acer-monitor-etbv3rpd05,Acer,,V173DJbd,"Acer V173DJbd 17.0"" 1280x1024 Monitor",ET.BV3RP.D05,[],{},1280 x 1024,,5 ms,,17,,,1,160° H x 160° V,No,17.0,5.0,0.0,0.0,"(5.0, 4.0)",140.975609756,"[13.2747697605, 10.6198158084]",13.2747697605,10.6198158084,0.0
