Alarm,Backup/Run Time (Full Load),Backup/Run Time (Half Load),Battery Chemistry,Battery Life,Dataline Protection,Emergency Power OFF,Form Factor,Hot Swappable,Input Voltage,Kind,Link,Load Capacity (VA),Load Capacity (W),Manufacturer,Maximum Battery Recharge Time,Name,Output Voltage,Part #,Prices,Protection Type,Rack Height,Receptacles,Serial Port,Switching Time,USB,Waveform Type,avg,short_link,load_cap_w,load_cap_va,max_batt_recharge_time,full_load,half_load
,3 Minutes,11.30 Minutes,Sealed Lead Acid,,,Yes,,Yes,,UPS,/product/t2RFf7/apc-ups-sua3000r2ix38,3000 VA,2700 W,APC,3 Hour,APC SUA3000R2IX38 UPS,230 V AC,SUA3000R2IX38,[],,2U,,,,Yes,,0.0,apc-ups-sua3000r2ix38,2700.0,3000.0,3.0,3.0,11.3
,5 Minutes,16 Minutes,Sealed Lead Acid,,,,Rack-mountable,Yes,,UPS,/product/XQVBD3/apc-ups-smt750rmi2u,750 VA,500 W,APC,3 Hour,APC SMT750RMI2U UPS,230 V AC,SMT750RMI2U,"[495.75, 546.99]",,2U,,Yes,,Yes,,521.37,apc-ups-smt750rmi2u,500.0,750.0,3.0,5.0,16.0
,7 Minutes,20 Minutes,Sealed Lead Acid,,,,Tower,Yes,,UPS,/product/RPs8TW/apc-ups-smc1000i,1000 VA,600 W,APC,3 Hour,APC SMC1000I UPS,230 V AC,SMC1000I,[],,,,Yes,,Yes,,0.0,apc-ups-smc1000i,600.0,1000.0,3.0,7.0,20.0
On Battery<br/>Low Battery<br/>Overload,4.10 Minutes,14.20 Minutes,Sealed Lead Acid,,,Optional,,Yes,220 V AC,UPS,/product/ngL7YJ/apc-ups-surt2000xli,2000 VA,1400 W,APC,4 Hour,APC SURT2000XLI UPS,230 V AC,SURT2000XLI,[],,,6 x IEC 320-C13<br/>3,Yes,,,Sine Wave,0.0,apc-ups-surt2000xli,1400.0,2000.0,4.0,4.1,14.2
On Battery<br/>Low Battery,5.50 Minutes,13.50 Minutes,Sealed Lead Acid,,RJ-45,Optional,Mini-tower,Yes,,UPS,/product/7NNypg/apc-ups-sc420,420 VA,260 W,APC,,APC SC420 UPS,,SC420,"[104.99, 104.99, 104.99, 106.49, 108.99, 104.99, 131.98, 139.99, 124.99]",,,4 x NEMA 5-15R,Yes,,,,114.711111111,apc-ups-sc420,260.0,420.0,0.0,5.5,13.5
Low Battery<br/>On Battery<br/>Overload,3 Minutes,11 Minutes,Sealed Lead Acid,6 Year,RJ-45<br/>Type F Connector<br/>RJ-11,No,Tower,Yes,110 V AC,UPS,/product/69Wrxr/cyberpower-ups-cp1500avrlcd,1500 VA,900 W,CyberPower,8 Hour,CyberPower CP1500AVRLCD UPS,120 V AC,CP1500AVRLCD,"[139.95, 139.95, 139.95, 139.95, 139.95, 139.95]",,,4 x NEMA 5-15R,Yes,4 ms,Yes,Simulated Sine Wave,139.95,cyberpower-ups-cp1500avrlcd,900.0,1500.0,8.0,3.0,11.0
,5 Minutes,15 Minutes,Valve-regulated Lead Acid (VRLA),,,Yes,Rack-mountable,Yes,,UPS,/product/8f8H99/hp-ups-af463a,6300 VA,6300 W,HP,48 Hour,HP AF463A UPS,,AF463A,[],,4U,,Yes,,Yes,,0.0,hp-ups-af463a,6300.0,6300.0,48.0,5.0,15.0
On Battery<br/>Low Battery,5.50 Minutes,13.50 Minutes,Sealed Lead Acid,,RJ-45,No,Tower,Yes,220 V AC,UPS,/product/VvVBD3/apc-ups-sc420i,420 VA,260 W,APC,,APC SC420I UPS,230 V AC,SC420I,[],,,3 x IEC 320-C13<br/>1 x IEC 320-C13<br/>2,Yes,,,,0.0,apc-ups-sc420i,260.0,420.0,0.0,5.5,13.5
On Battery<br/>Low Battery<br/>Overload,4.70 Minutes,18.10 Minutes,Sealed Lead Acid,,,,,Yes,220 V AC,UPS,/product/WCyxFT/apc-ups-bk350ei,350 VA,210 W,APC,6 Hour,APC BK350EI UPS,230 V AC,BK350EI,"[84.37, 102.99]",,,1 x IEC 320-C13<br/>3 x IEC 320-C13<br/>2,,,Yes,Stepped Sine Wave,93.68,apc-ups-bk350ei,210.0,350.0,6.0,4.7,18.1
,8 Minutes,22 Minutes,Sealed Lead Acid,,,Yes,Tower,Yes,110 V AC,UPS,/product/2wVBD3/apc-ups-smt2200us,2200 VA,1980 W,APC,3 Hour,APC SMT2200US UPS,120 V AC,SMT2200US,"[1080.75, 1078.99]",,,8 x NEMA 5-15R<br/>2 x NEMA 5-20R,,,Yes,,1079.87,apc-ups-smt2200us,1980.0,2200.0,3.0,8.0,22.0
Overload<br/>UPS Fault<br/>Replace Battery<br/>Low Battery<br/>Battery Mode,4.98 Minutes,15 Minutes,Lead Acid,,RJ-11<br/>RJ-45,Yes,Tower/Rack Mountable,Yes,220 V AC,UPS,/product/g9Wrxr/cyberpower-ups-ol10000rt3u,10000 VA,9000 W,CyberPower,5 Hour,CyberPower OL10000RT3U UPS,240 V AC<br/>208 V AC<br/>230 V AC<br/>220 V AC,OL10000RT3U,"[4226.94, 4219.95, 5530.99]",,6U,1 x Terminal Block<br/>3 x NEMA L6-30R,Yes,0 ns,Yes,Sine Wave,4659.29333333,cyberpower-ups-ol10000rt3u,9000.0,10000.0,5.0,4.98,15.0
,2 Minutes,7 Minutes,Sealed Lead Acid,,RJ-11,,Desktop,,110 V AC,UPS,/product/hbjWGX/cyberpower-ups-cp425slg,425 VA,255 W,CyberPower,8 Hour,CyberPower CP425SLG UPS,120 V AC,CP425SLG,"[44.95, 44.95, 44.95, 44.95, 44.98, 44.95, 44.95]",,,4 x NEMA 5-15R,,,Yes,,44.9542857143,cyberpower-ups-cp425slg,255.0,425.0,8.0,2.0,7.0
,,,Sealed Lead Acid,,RJ-45<br/>RJ-11,,Desktop,,,UPS,/product/MjcMnQ/ibm-ups-2130r6x,1500 VA,1050 W,IBM,3 Hour,IBM 2130R6X UPS,,2130R6X,[],,,,,,Yes,,0.0,ibm-ups-2130r6x,1050.0,1500.0,3.0,0.0,0.0
,5 Minutes,15 Minutes,Sealed Lead Acid,,,,Tower,Yes,110 V AC,UPS,/product/3pbkcf/apc-ups-smc1000,1000 VA,600 W,APC,3 Hour,APC SMC1000 UPS,120 V AC,SMC1000,"[240.99, 240.99, 249.17, 259.89, 240.99, 284.49, 242.99, 309.99]",,,8 x NEMA 5-15R,Yes,,Yes,,258.6875,apc-ups-smc1000,600.0,1000.0,3.0,5.0,15.0
,7 Minutes,20 Minutes,,,,Yes,Tower/Rack Mountable,Yes,110 V AC<br/>220 V AC,UPS,/product/KCyxFT/tripp-lite-ups-su12000rt4u,12000 VA,8400 W,Tripp Lite,6 Hour,Tripp Lite SU12000RT4U UPS,240 V AC<br/>208 V AC,SU12000RT4U,"[6073.07, 6648.99, 6943.44]",,4U,2 x NEMA 5-15/20R<br/>5 x NEMA L6-30R,Yes,0 ns,Yes,,6555.16666667,tripp-lite-ups-su12000rt4u,8400.0,12000.0,6.0,7.0,20.0
,4 Minutes,13 Minutes,Sealed Lead Acid,,,Optional,Tower,Yes,110 V AC,UPS,/product/73FXsY/apc-ups-smc1500,1500 VA,900 W,APC,3 Hour,APC SMC1500 UPS,120 V AC,SMC1500,"[320.49, 320.49, 320.49, 327.44, 332.99, 340.81, 320.49, 379.99, 371.99]",,,8 x NEMA 5-15R,Yes,,Yes,,337.242222222,apc-ups-smc1500,900.0,1500.0,3.0,4.0,13.0
,4.40 Minutes,14.10 Minutes,Sealed Lead Acid,,,Yes,Rack-mountable,Yes,220 V AC,UPS,/product/HM8H99/apc-ups-surtd6000rmxlp3u,6000 VA,4200 W,APC,2.50 Hour,APC SURTD6000RMXLP3U UPS,208 V AC,SURTD6000RMXLP3U,"[4637.99, 4750.0, 4911.0]",,3U,1 x NEMA 5-20R<br/>4 x NEMA L14-30R<br/>1 x NEMA L6-30R,Yes,,,,4766.33,apc-ups-surtd6000rmxlp3u,4200.0,6000.0,2.5,4.4,14.1
,4.20 Minutes,14.10 Minutes,Sealed Lead Acid,,RJ-45,,Tower,,110 V AC,UPS,/product/cr7CmG/apc-ups-bx1300g,1300 VA,780 W,APC,16 Hour,APC BX1300G UPS,120 V AC,BX1300G,[179.99],,,5 x NEMA 5-15R,,,Yes,,179.99,apc-ups-bx1300g,780.0,1300.0,16.0,4.2,14.1
,2 Minutes,9 Minutes,Sealed Lead Acid,,RJ-45<br/>RJ-11,,Desktop,,110 V AC,UPS,/product/z4Crxr/cyberpower-ups-cp600lcd,600 VA,340 W,CyberPower,8 Hour,CyberPower CP600LCD UPS,120 V AC,CP600LCD,"[64.95, 64.95, 64.95, 64.95, 64.95]",,,4 x NEMA 5-15R,,4 ms,Yes,,64.95,cyberpower-ups-cp600lcd,340.0,600.0,8.0,2.0,9.0
,2.50 Minutes,11.80 Minutes,Sealed Lead Acid,,RJ-45,,,,110 V AC,UPS,/product/mvVBD3/apc-ups-be750glm,750 VA,450 W,APC,16 Hour,APC BE750G-LM UPS,120 V AC,BE750G-LM,[],,,5 x NEMA 5-15R,,,,,0.0,apc-ups-be750glm,450.0,750.0,16.0,2.5,11.8
,6 Minutes,18 Minutes,Lead Acid,,,Yes,Tower/Rack Mountable,Yes,,UPS,/product/PTH48d/apc-ups-smx3000rmhv2unc,3000 VA,2700 W,APC,3 Hour,APC SMX3000RMHV2UNC UPS,230 V AC,SMX3000RMHV2UNC,"[1717.95, 1717.95, 1718.49, 1795.99, 2000.0, 2049.99]",,2U,,Yes,4 ms,Yes,,1833.395,apc-ups-smx3000rmhv2unc,2700.0,3000.0,3.0,6.0,18.0
Low Battery<br/>On Battery<br/>Overload,6 Minutes,16 Minutes,Sealed Lead Acid,6 Year,Type F Connector<br/>RJ-45,Yes,Rack-mountable,,110 V AC,UPS,/product/fQVBD3/cyberpower-ups-pr2200lcdrt2u,2170 VA,1600 W,CyberPower,8 Hour,CyberPower PR2200LCDRT2U UPS,120 V AC,PR2200LCDRT2U,"[699.95, 699.95, 699.95, 699.95, 709.95, 699.95]",Black Out<br/>AC Surge<br/>EMI / RFI<br/>Overload<br/>Sag,2U,8 x NEMA 5-20R,Yes,4 ms,Yes,Sine Wave,701.616666667,cyberpower-ups-pr2200lcdrt2u,1600.0,2170.0,8.0,6.0,16.0
,3.50 Minutes,13 Minutes,,,RJ-45,,Tower/Rack Mountable,,110 V AC,UPS,/product/xLDzK8/tripp-lite-ups-smart1500lcd,1500 VA,900 W,Tripp Lite,8 Hour,Tripp Lite SMART1500LCD UPS,120 V AC,SMART1500LCD,"[204.99, 206.99, 206.99, 208.99, 215.99, 206.99, 233.99]",Brownout<br/>Over Voltage,2U,8 x NEMA 5-15R,Yes,4 ms,Yes,Pulse-width Modulated Sine Wave,212.132857143,tripp-lite-ups-smart1500lcd,900.0,1500.0,8.0,3.5,13.0
On Battery<br/>Low Battery<br/>Overload<br/>Fault,3 Minutes,9 Minutes,Sealed Lead Acid,,RG-6<br/>RJ-11<br/>RJ-45,No,Mini-tower,,110 V AC,UPS,/product/g6X2FT/cyberpower-ups-cp1350pfclcd,1350 VA,810 W,CyberPower,8 Hour,CyberPower CP1350PFCLCD UPS,120 V AC,CP1350PFCLCD,"[179.95, 179.95, 179.95, 179.99, 179.95, 194.95, 179.99]",Overload,,10 x NEMA 5-15R,Yes,,Yes,Sine Wave,182.104285714,cyberpower-ups-cp1350pfclcd,810.0,1350.0,8.0,3.0,9.0
,1 Minute,6 Minutes,Sealed Lead Acid,,RJ-45<br/>RJ-11<br/>RG-6,,Tower,,110 V AC,UPS,/product/2Ps8TW/cyberpower-ups-cp1000avrlcd,1000 VA,600 W,CyberPower,8 Hour,CyberPower CP1000AVRLCD UPS,120 V AC,CP1000AVRLCD,"[109.95, 109.95, 109.95, 109.95, 113.37, 106.47, 109.95, 149.89]",,,5 x NEMA 5-15R<br/>4 x NEMA 5-15R,Yes,4 ms,Yes,,114.935,cyberpower-ups-cp1000avrlcd,600.0,1000.0,8.0,1.0,6.0
,36 Minutes,,,,,,Tower,,120 V AC,UPS,/product/rXH48d/apc-ups-bge90m,125 VA,75 W,APC,6 Hour,APC BGE90M UPS,120 V AC,BGE90M,"[30.39, 57.99, 69.99, 79.21]",,,3 x NEMA 1-15R,,,,,59.395,apc-ups-bge90m,75.0,125.0,6.0,36.0,0.0
,2 Minutes,13.40 Minutes,Lead Acid,5 Year,,,Desktop,,110 V AC,UPS,/product/HLDzK8/apc-ups-bn600g,600 VA,360 W,APC,,APC BN600G UPS,115 V AC,BN600G,"[74.95, 74.99, 79.99]",,,4,,10 ms,Yes,,76.6433333333,apc-ups-bn600g,360.0,600.0,0.0,2.0,13.4
,,,,,,,,,,UPS,/product/6x98TW/cyberpower-gx1325u-ups-gx1325u,1325 VA,810 W,CyberPower,,CyberPower GX1325U UPS,,GX1325U,[169.99],,,,,,,,169.99,cyberpower-gx1325u-ups-gx1325u,810.0,1325.0,0.0,0.0,0.0
,,,Lead Acid,,RJ-11,,Desktop,,110 V AC,UPS,/product/m9Wrxr/cyberpower-ups-ec350g,350 VA,255 W,CyberPower,8 Hour,CyberPower EC350G UPS,120 V AC,EC350G,"[37.95, 44.95, 44.95, 54.99]",,,4 x NEMA 5-15R,,,Yes,,45.71,cyberpower-ups-ec350g,255.0,350.0,8.0,0.0,0.0
,2 Minutes,9 Minutes,Sealed Lead Acid,,RJ-45,,Desktop,Yes,110 V AC,UPS,/product/CVYWGX/apc-ups-bn4001,450 VA,257 W,APC,24 Hour,APC BN4001 UPS,120 V AC,BN4001,[73.72],,,4 x NEMA 5-15R,,,,,73.72,apc-ups-bn4001,257.0,450.0,24.0,2.0,9.0
,,,Lead Acid,,RJ-11,,Desktop,,110 V AC,UPS,/product/xwVBD3/cyberpower-ups-ec650lcd,650 VA,390 W,CyberPower,8 Hour,CyberPower EC650LCD UPS,120 V AC,EC650LCD,"[55.95, 56.95, 67.88, 67.95, 67.95]",,,4 x NEMA 5-15R,,,Yes,,63.336,cyberpower-ups-ec650lcd,390.0,650.0,8.0,0.0,0.0
,24 Second,5.60 Minutes,Sealed Lead Acid,,RJ-11,,Desktop,Yes,110 V AC,UPS,/product/NjcMnQ/apc-ups-be350g,350 VA,200 W,APC,16 Hour,APC BE350G UPS,120 V AC,BE350G,"[41.99, 37.99, 42.99, 44.49, 49.45, 37.99, 49.99, 42.49, 54.99, 44.99]",,,3 x NEMA 5-15R,,,,,44.736,apc-ups-be350g,200.0,350.0,16.0,0.4,5.6
Low Battery<br/>On Battery<br/>Overload,3 Minutes,12 Minutes,Sealed Lead Acid,6 Year,RJ-45<br/>Type F Connector<br/>RJ-11,No,Tower,Yes,110 V AC,UPS,/product/s2RFf7/cyberpower-ups-cp1200avr,1200 VA,720 W,CyberPower,8 Hour,CyberPower CP1200AVR UPS,120 V AC,CP1200AVR,"[117.97, 132.95, 132.95, 143.95]",,,4 x NEMA 5-15R,Yes,4 ms,Yes,Simulated Sine Wave,131.955,cyberpower-ups-cp1200avr,720.0,1200.0,8.0,3.0,12.0
,6 Minutes,14 Minutes,Sealed Lead Acid,,RJ-11<br/>RG-6<br/>RJ-45,,Tower/Rack Mountable,Yes,110 V AC,UPS,/product/HccMnQ/cyberpower-ups-or2200lcdrtxl2u,2190 VA,1650 W,CyberPower,8 Hour,CyberPower OR2200LCDRTXL2U UPS,120 V AC,OR2200LCDRTXL2U,"[504.07, 547.98, 504.07, 559.95, 497.99, 649.0]",,2U,8 x NEMA 5-20R,Yes,,Yes,,543.843333333,cyberpower-ups-or2200lcdrtxl2u,1650.0,2190.0,8.0,6.0,14.0
,,,Sealed Lead Acid,,RJ-45<br/>RJ-11,,Tower,Yes,,UPS,/product/N7hj4D/apc-ups-br1500gi,1500 VA,865 W,APC,8 Hour,APC BR1500GI UPS,230 V AC,BR1500GI,"[434.99, 442.95, 442.99, 469.99]",,,,Yes,,,,447.73,apc-ups-br1500gi,865.0,1500.0,8.0,0.0,0.0
,1.80 Minutes,9 Minutes,Lead Acid,,RJ-11,,Desktop,,110 V AC,UPS,/product/rKZ2FT/cyberpower-ups-ec750g,750 VA,450 W,CyberPower,8 Hour,CyberPower EC750G UPS,120 V AC,EC750G,"[63.95, 72.95, 74.99, 76.95, 72.95, 93.99]",,,6 x NEMA 5-15R,,,Yes,,75.9633333333,cyberpower-ups-ec750g,450.0,750.0,8.0,1.8,9.0
,7 Minutes,19 Minutes,Sealed Lead Acid,,RG-6<br/>RJ-45<br/>RJ-11,,Tower/Rack Mountable,Yes,110 V AC,UPS,/product/vr7CmG/cyberpower-ups-or1500lcdrtxl2u,1500 VA,1125 W,CyberPower,8 Hour,CyberPower OR1500LCDRTXL2U UPS,120 V AC,OR1500LCDRTXL2U,"[386.36, 392.46, 404.98, 386.36, 432.95, 419.99]",,2U,8 x NEMA 5-15R,Yes,,Yes,,403.85,cyberpower-ups-or1500lcdrtxl2u,1125.0,1500.0,8.0,7.0,19.0
,2 Minutes,11 Minutes,Sealed Lead Acid,,RJ-45,,Desktop,,110 V AC,UPS,/product/T9Wrxr/apc-ups-be750gcn,750 VA,450 W,APC,,APC BE750G-CN UPS,120 V AC,BE750G-CN,[121.31],,,5 x NEMA 5-15R,,,,,121.31,apc-ups-be750gcn,450.0,750.0,0.0,2.0,11.0
,6.70 Minutes,23.90 Minutes,Sealed Lead Acid,,,Optional,Tower,Yes,110 V AC,UPS,/product/ctJkcf/apc-ups-smt1500,1500 VA,980 W,APC,3 Hour,APC SMT1500 UPS,120 V AC,SMT1500,"[450.0, 457.99, 461.95, 461.95, 461.99, 472.98, 482.99, 519.99, 487.99, 559.0]",,,8 x NEMA 5-15R,Yes,,Yes,,481.683,apc-ups-smt1500,980.0,1500.0,3.0,6.7,23.9
,2 Minutes,9 Minutes,Sealed Lead Acid,,RJ-45<br/>RJ-11<br/>RG-6,,Tower,,110 V AC,UPS,/product/WkTrxr/cyberpower-ups-cp1350avrlcd,1350 VA,810 W,CyberPower,16 Hour,CyberPower CP1350AVRLCD UPS,120 V AC,CP1350AVRLCD,"[132.95, 132.95, 132.95, 132.95]",,,4 x NEMA 5-15R,Yes,4 ms,Yes,,132.95,cyberpower-ups-cp1350avrlcd,810.0,1350.0,16.0,2.0,9.0
,7 Minutes,26 Minutes,Lead Acid,,,Optional,Rack-mountable,Yes,110 V AC,UPS,/product/6WX2FT/apc-ups-smt1500rm2u,1440 VA,1000 W,APC,3 Hour,APC SMT1500RM2U UPS,120 V AC,SMT1500RM2U,"[567.95, 567.95, 567.95, 602.99, 567.95, 616.99, 592.99, 689.99, 679.99]",,2U,6 x NEMA 5-15R,Yes,,Yes,,606.083333333,apc-ups-smt1500rm2u,1000.0,1440.0,3.0,7.0,26.0
,6 Minutes,18 Minutes,Sealed Lead Acid,,,Yes,Tower/Rack Mountable,Yes,110 V AC,UPS,/product/96X2FT/apc-ups-smx3000lv,3000 VA,2700 W,APC,3 Hour,APC SMX3000LV UPS,120 V AC,SMX3000LV,"[1199.99, 1229.86, 1231.23, 1349.99, 1319.99, 1450.0]",,4U,3 x NEMA 5-20R<br/>1 x NEMA L5-30R<br/>6 x NEMA 5-15R,,4 ms,Yes,,1296.84333333,apc-ups-smx3000lv,2700.0,3000.0,3.0,6.0,18.0
Low Battery<br/>On Battery<br/>Overload,3 Minutes,11 Minutes,Sealed Lead Acid,6 Year,Type F Connector<br/>RJ-45<br/>RJ-11,No,Tower,Yes,110 V AC,UPS,/product/yM8H99/cyberpower-ups-cp1500avrt,1500 VA,900 W,CyberPower,8 Hour,CyberPower CP1500AVRT UPS,120 V AC,CP1500AVRT,"[151.42, 151.42, 169.99, 169.95, 184.95]",,,4 x NEMA 5-15R,Yes,4 ms,Yes,Simulated Sine Wave,165.546,cyberpower-ups-cp1500avrt,900.0,1500.0,8.0,3.0,11.0
,4 Minutes,13 Minutes,Sealed Lead Acid,,RJ-45,,Tower,,120 V AC,UPS,/product/dWX2FT/apc-ups-bx1500g,1500 VA,865 W,APC,16 Hour,APC BX1500G UPS,120 V AC,BX1500G,"[199.99, 199.99]",,,10 x NEMA 5-15R,,,Yes,,199.99,apc-ups-bx1500g,865.0,1500.0,16.0,4.0,13.0
,2 Minutes,11 Minutes,Sealed Lead Acid,,RJ-11,,Desktop,Yes,110 V AC,UPS,/product/DVYWGX/apc-ups-bn700mc,700 VA,420 W,APC,24 Hour,APC BN700MC UPS,120 V AC,BN700MC,[],,,4 x NEMA 5-15R,,10 ms,Yes,,0.0,apc-ups-bn700mc,420.0,700.0,24.0,2.0,11.0
,3 Minutes,11 Minutes,Sealed Lead Acid,,,,,Yes,,UPS,/product/r8KhP6/apc-ups-smt3000rmi2u,3000 VA,2700 W,APC,3 Hour,APC SMT3000RMI2U UPS,230 V AC,SMT3000RMI2U,"[1537.08, 1550.0, 1606.99]",,,,Yes,,Yes,,1564.69,apc-ups-smt3000rmi2u,2700.0,3000.0,3.0,3.0,11.0
Low Battery<br/>On Battery<br/>Overload,6 Minutes,18 Minutes,Sealed Lead Acid,6 Year,RJ-45<br/>RJ-11,No,Tower/Rack Mountable,Yes,110 V AC,UPS,/product/wWX2FT/cyberpower-ups-cps1500avr,1500 VA,950 W,CyberPower,8 Hour,CyberPower CPS1500AVR UPS,120 V AC,CPS1500AVR,"[274.0, 301.98, 274.0, 309.99, 379.95]",,2U,6 x NEMA 5-15R,,4 ms,,Simulated Sine Wave,307.984,cyberpower-ups-cps1500avr,950.0,1500.0,8.0,6.0,18.0
Low Battery<br/>On Battery<br/>Overload,3 Minutes,13 Minutes,Sealed Lead Acid,6 Year,RJ-45<br/>RJ-11,No,Rack-mountable,,110 V AC,UPS,/product/sTH48d/cyberpower-ups-or1000lcdrm1u,1000 VA,600 W,CyberPower,8 Hour,CyberPower OR1000LCDRM1U UPS,120 V AC,OR1000LCDRM1U,"[289.99, 291.98, 267.61, 314.95, 309.99, 395.95]",Dataline Surge<br/>Black Out<br/>AC Surge<br/>EMI / RFI<br/>Overload<br/>Sag,1U,4 x NEMA 5-15R<br/>2 x NEMA 5-15R,Yes,4 ms,Yes,Simulated Sine Wave,311.745,cyberpower-ups-or1000lcdrm1u,600.0,1000.0,8.0,3.0,13.0
On Battery<br/>Self-test Operation,,,Sealed Lead Acid,6 Year,RJ-11,,Ultra-compact Desk-mount,Yes,110 V AC,UPS,/product/XjcMnQ/tripp-lite-ups-internet350u,350 VA,180 W,Tripp Lite,4 Hour,Tripp Lite INTERNET350U UPS,120 V AC,INTERNET350U,"[41.52, 44.99, 49.99, 44.99, 41.52, 77.4]",Brownout<br/>Black Out,,3 x NEMA 5-15R,,4 ms,Yes,Pulse-width Modulated Sine Wave,50.0683333333,tripp-lite-ups-internet350u,180.0,350.0,4.0,0.0,0.0
,2.50 Minutes,8 Minutes,,,,,Mini Desktop,,110 V AC,UPS,/product/CjcMnQ/tripp-lite-ups-bc350,350 VA,180 W,Tripp Lite,4 Hour,Tripp Lite BC350 UPS,120 V AC,BC350,"[40.79, 45.99, 46.76, 49.99, 40.79, 49.99]",,,3 x NEMA 5-15R,,,,,45.7183333333,tripp-lite-ups-bc350,180.0,350.0,4.0,2.5,8.0
,3.30 Minutes,13.50 Minutes,Sealed Lead Acid,,RJ-11,,Desktop,Yes,110 V AC,UPS,/product/KRGj4D/apc-ups-be550g,550 VA,330 W,APC,24 Hour,APC BE550G UPS,120 V AC,BE550G,"[67.99, 69.95, 71.69, 69.99, 69.99, 62.99]",,,4 x NEMA 5-15R,,,Yes,,68.7666666667,apc-ups-be550g,330.0,550.0,24.0,3.3,13.5
,2.80 Minutes,13 Minutes,,,RJ-11,,Desktop<br/>Wall Mountable,,110 V AC,UPS,/product/g2RFf7/tripp-lite-ups-eco850lcd,850 VA,425 W,Tripp Lite,,Tripp Lite ECO850LCD UPS,120 V AC,ECO850LCD,"[78.99, 83.99, 89.51, 78.99, 84.99, 90.98, 95.99]",Black Out<br/>Surge,,12 x NEMA 5-15R,,6 ms,Yes,,86.2057142857,tripp-lite-ups-eco850lcd,425.0,850.0,0.0,2.8,13.0
,6.60 Minutes,23.40 Minutes,Sealed Lead Acid,,,,Tower,Yes,220 V AC,UPS,/product/2nnG3C/apc-ups-bk325i,325 VA,210 W,APC,6 Hour,APC BK325I UPS,230 V AC,BK325I,"[71.99, 72.99, 103.61]",,,3 x IEC 320-C13<br/>1 x IEC 320-C13,,,,,82.8633333333,apc-ups-bk325i,210.0,325.0,6.0,6.6,23.4
,9.40 Minutes,26.70 Minutes,Valve-regulated Lead Acid (VRLA),,,,Tower,Yes,220 V AC,UPS,/product/8BPzK8/apc-ups-sua5000rmi5u,5000 VA,4000 W,APC,3 Hour,APC SUA5000RMI5U UPS,230 V AC,SUA5000RMI5U,[3249.99],,5U,8 x IEC 320-C13<br/>2 x IEC Jumper<br/>6 x IEC 320-C19,,,,,3249.99,apc-ups-sua5000rmi5u,4000.0,5000.0,3.0,9.4,26.7
,6 Minutes,14 Minutes,Lead Acid,,,Yes,Tower,,,UPS,/product/ZbjWGX/apc-ups-smt3000i,3000 VA,2700 W,APC,,APC SMT3000I UPS,230 V AC,SMT3000I,"[1010.99, 1010.99, 1889.99]",,,,,,Yes,,1303.99,apc-ups-smt3000i,2700.0,3000.0,0.0,6.0,14.0
,,,Sealed Lead Acid,5 Year,,,Tower,Yes,110 V AC<br/>220 V AC,UPS,/product/FjcMnQ/cyberpower-ups-cs16u48v8,,16 W,CyberPower,12 Hour,CyberPower CS16U48V-8 UPS,48 V DC,CS16U48V-8,[79.99],,,,,,,,79.99,cyberpower-ups-cs16u48v8,16.0,0.0,12.0,0.0,0.0
On Battery<br/>Low Battery<br/>Overload,2 Minutes,7 Minutes,Lead Acid,,RJ-11,,Desktop,,120 V AC,UPS,/product/MsJkcf/cyberpower-ups-se425g,425 VA,255 W,CyberPower,8 Hour,CyberPower SE425G UPS,120 V AC,SE425G,"[39.95, 39.99]",Surge<br/>EMI / RFI<br/>Sag<br/>Brownout,,8 x NEMA 5-15R,,,,Simulated Sine Wave,39.97,cyberpower-ups-se425g,255.0,425.0,8.0,2.0,7.0
Low Battery<br/>On Battery<br/>Overload,6 Minutes,18 Minutes,Sealed Lead Acid,6 Year,Type F Connector<br/>RJ-45<br/>RG-6,Yes,Rack-mountable<br/>Tower,,120 V AC,UPS,/product/BkTrxr/cyberpower-ups-pr1500lcdrt2u,1500 VA,1350 W,CyberPower,8 Hour,CyberPower PR1500LCDRT2U UPS,120 V AC,PR1500LCDRT2U,"[515.95, 515.95, 515.95, 515.99, 523.99, 529.49, 515.95, 515.95]",Black Out<br/>AC Surge<br/>EMI / RFI<br/>Overload<br/>Sag<br/>Surge,2U,8 x NEMA 5-15R,Yes,4 ms,Yes,Sine Wave,518.6525,cyberpower-ups-pr1500lcdrt2u,1350.0,1500.0,8.0,6.0,18.0
Low Battery<br/>Power Failure,,10 Minutes,,,RJ-11<br/>RJ-45,,Tower,,230 V DC,UPS,/product/syfmP6/tripp-lite-ups-smx1500lcdt,1500 VA,900 W,Tripp Lite,8 Hour,Tripp Lite SMX1500LCDT UPS,230 V AC,SMX1500LCDT,[208.84],Surge<br/>EMI / RFI,,8 x IEC 60320 C13,Yes,,Yes,Sine Wave<br/>Pulse-width Modulated Sine Wave,208.84,tripp-lite-ups-smx1500lcdt,900.0,1500.0,8.0,0.0,10.0
,4 Minutes,12 Minutes,,,,,Tower/Rack Mountable,,110 V AC,UPS,/product/ywVBD3/tripp-lite-ups-smart1500lcdxl,1500 VA,900 W,Tripp Lite,4.50 Hour,Tripp Lite SMART1500LCDXL UPS,120 V AC,SMART1500LCDXL,"[247.62, 247.62, 247.62, 282.99, 269.99]",,2U,8 x NEMA 5-15R,Yes,4 ms,Yes,,259.168,tripp-lite-ups-smart1500lcdxl,900.0,1500.0,4.5,4.0,12.0
